# MIC-185 192.168.9.155:4000; packets=794
# idx  relative    delta direction flags      seq        ack        payload wire
   211    258.574    1.233 DEV->PC ACK|PSH    4237146517 1893637749     124   178
   212    258.721    0.147 PC->DEV ACK|PSH    1893637749 4237146641      40    94
   213    258.880    0.159 DEV->PC ACK        4237146641 1893637789       0    64
   214    260.086    1.206 DEV->PC ACK|PSH    4237146641 1893637789      52   106
   215    260.211    0.125 PC->DEV ACK|PSH    1893637789 4237146693      48   102
   216    260.498    0.287 DEV->PC ACK        4237146693 1893637837       0    64
   217    261.647    1.149 DEV->PC ACK|PSH    4237146693 1893637837      44    98
   218    261.758    0.111 PC->DEV ACK|PSH    1893637837 4237146737      48   102
   219    261.913    0.155 DEV->PC ACK        4237146737 1893637885       0    64
   220    263.100    1.187 DEV->PC ACK|PSH    4237146737 1893637885      44    98
   221    263.321    0.221 PC->DEV ACK|PSH    1893637885 4237146781      48   102
   222    263.561    0.240 DEV->PC ACK        4237146781 1893637933       0    64
   223    264.662    1.101 DEV->PC ACK|PSH    4237146781 1893637933      44    98
   224    264.756    0.094 PC->DEV ACK|PSH    1893637933 4237146825      48   102
   225    264.978    0.222 DEV->PC ACK        4237146825 1893637981       0    64
   226    266.179    1.201 DEV->PC ACK|PSH    4237146825 1893637981      44    98
   227    266.313    0.134 PC->DEV ACK|PSH    1893637981 4237146869      48   102
   228    266.464    0.151 DEV->PC ACK        4237146869 1893638029       0    64
   229    267.610    1.146 DEV->PC ACK|PSH    4237146869 1893638029      40    94
   230    267.952    0.342 PC->DEV ACK|PSH    1893638029 4237146909      48   102
   231    268.203    0.251 DEV->PC ACK        4237146909 1893638077       0    64
   232    269.398    1.195 DEV->PC ACK|PSH    4237146909 1893638077      36    90
   233    269.491    0.093 PC->DEV ACK|PSH    1893638077 4237146945       0  4070
   234    272.200    2.709 DEV->PC ACK        4237146945 1893642093       0    64
   235    277.249    5.049 DEV->PC ACK|PSH    4237146945 1893642093      32    86
   236    277.483    0.234 PC->DEV ACK|PSH    1893642093 4237146977      32    86
   237    277.713    0.230 DEV->PC ACK        4237146977 1893642125       0    64
   238    278.993    1.280 DEV->PC ACK|PSH    4237146977 1893642125      32    86
   239    279.231    0.238 PC->DEV ACK|PSH    1893642125 4237147009      32    86
   240    279.377    0.146 DEV->PC ACK        4237147009 1893642157       0    64
   241    280.800    1.423 DEV->PC ACK|PSH    4237147009 1893642157      32    86
   242    329.244   48.444 PC->DEV ACK        1893642157 4237147041       0    54
   243   5295.562 4966.318 PC->DEV ACK        1893642156 4237147041       1    55
   244   5295.746    0.184 DEV->PC ACK        4237147041 1893642157       0    64
   245  10223.459 4927.713 DEV->PC ACK        4237147040 1893642157       0    64
   246  10223.574    0.115 PC->DEV ACK        1893642157 4237147041       0    54
   247  10305.086   81.512 PC->DEV ACK        1893642156 4237147041       1    55
   248  10305.425    0.339 DEV->PC ACK        4237147041 1893642157       0    64
   249  15223.478 4918.053 DEV->PC ACK        4237147040 1893642157       0    64
   250  15223.634    0.156 PC->DEV ACK        1893642157 4237147041       0    54
   251  15314.872   91.238 PC->DEV ACK        1893642156 4237147041       1    55
   252  15315.170    0.298 DEV->PC ACK        4237147041 1893642157       0    64
   253  20223.546 4908.376 DEV->PC ACK        4237147040 1893642157       0    64
   254  20223.605    0.059 PC->DEV ACK        1893642157 4237147041       0    54
   255  20318.277   94.672 PC->DEV ACK        1893642156 4237147041       1    55
   256  20318.629    0.352 DEV->PC ACK        4237147041 1893642157       0    64
   257  25223.507 4904.878 DEV->PC ACK        4237147040 1893642157       0    64
   258  25223.558    0.051 PC->DEV ACK        1893642157 4237147041       0    54
   259  25331.040  107.482 PC->DEV ACK        1893642156 4237147041       1    55
   260  25331.324    0.284 DEV->PC ACK        4237147041 1893642157       0    64
   261  30323.501 4992.177 DEV->PC ACK        4237147040 1893642157       0    64
   262  30323.627    0.126 PC->DEV ACK        1893642157 4237147041       0    54
   263  30334.719   11.092 PC->DEV ACK        1893642156 4237147041       1    55
   264  30335.063    0.344 DEV->PC ACK        4237147041 1893642157       0    64
   265  34283.156 3948.093 PC->DEV ACK|FIN    1893642157 4237147041       0    54
   266  34283.341    0.185 DEV->PC ACK        4237147041 1893642158       0    64
   267  34283.633    0.292 DEV->PC ACK|FIN    4237147041 1893642158       0    64
   268  34283.638    0.005 PC->DEV ACK        1893642158 4237147042       0    54
   269  34283.707    0.069 PC->DEV SYN        2344489272          0       0    66
   270  34284.360    0.653 DEV->PC ACK|SYN    4259154432 2344489273       0    64
   271  34284.373    0.013 PC->DEV ACK        2344489273 4259154433       0    54
   272  34284.422    0.049 PC->DEV ACK|PSH    2344489273 4259154433      32    86
   273  34284.618    0.196 DEV->PC ACK        4259154433 2344489305       0    64
   274  34385.056  100.438 DEV->PC ACK|PSH    4259154433 2344489305      40    94
   275  34416.771   31.715 PC->DEV ACK|PSH    2344489305 4259154473      32    86
   276  34417.034    0.263 DEV->PC ACK        4259154473 2344489337       0    64
   277  34418.206    1.172 DEV->PC ACK|PSH    4259154473 2344489337      40    94
   278  34462.891   44.685 PC->DEV ACK        2344489337 4259154513       0    54
   279  35933.128 1470.237 PC->DEV ACK|PSH    2344489337 4259154513      32    86
   280  35933.401    0.273 DEV->PC ACK        4259154513 2344489369       0    64
   281  35934.646    1.245 DEV->PC ACK|PSH    4259154513 2344489369      40    94
   282  35976.544   41.898 PC->DEV ACK        2344489369 4259154553       0    54
   283  37001.360 1024.816 PC->DEV ACK|PSH    2344489369 4259154553      32    86
   284  37001.628    0.268 DEV->PC ACK        4259154553 2344489401       0    64
   285  37003.136    1.508 DEV->PC ACK|PSH    4259154553 2344489401     116   170
   286  37046.707   43.571 PC->DEV ACK        2344489401 4259154669       0    54
   287  37152.959  106.252 DEV->PC ACK        4259154669 2344489401    1460  1514
