connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,0.0,TCP,connect,,0,,,,
1,280.8,DEV->PC,mebius_service,,32,00000000,0C904000,4823627111b5cb97,to=00000000;from=0C904000
1,10223.459,DEV->PC,tcp_keepalive_probe,,0,,,,TCP probe: seq=SND.NXT-1
1,15223.478,DEV->PC,tcp_keepalive_probe,,0,,,,TCP probe: seq=SND.NXT-1
1,20223.546,DEV->PC,tcp_keepalive_probe,,0,,,,TCP probe: seq=SND.NXT-1
1,25223.507,DEV->PC,tcp_keepalive_probe,,0,,,,TCP probe: seq=SND.NXT-1
1,30323.501,DEV->PC,tcp_keepalive_probe,,0,,,,TCP probe: seq=SND.NXT-1
1,34283.156,TCP,disconnect,,0,,,,
1,34283.633,TCP,disconnect,,0,,,,
2,34283.707,TCP,connect,,0,,,,
2,34284.422,PC->DEV,alive_request,query_session,28,0C904000,096A7050,fa2ca0b321760f8c,to=0C904000;from=096A7050
2,34385.056,DEV->PC,mebius_service,,40,00000000,0C904000,286abd5b8a52f1c7,to=00000000;from=0C904000
2,34416.771,PC->DEV,alive_request,query_session,28,0C904000,096A7050,fa2ca0b321760f8c,to=0C904000;from=096A7050
2,34418.206,DEV->PC,mebius_service,,40,00000000,0C904000,286abd5b8a52f1c7,to=00000000;from=0C904000
2,35933.128,PC->DEV,alive_request,query_session,28,0C904000,096A7050,fa2ca0b321760f8c,to=0C904000;from=096A7050
2,35934.646,DEV->PC,mebius_service,,40,00000000,0C904000,286abd5b8a52f1c7,to=00000000;from=0C904000
2,37001.36,PC->DEV,start,start,28,0C904000,096A7050,d77bd29f2b8e2ae1,to=0C904000;from=096A7050
2,37003.136,DEV->PC,mebius_service,,84,00000000,3E904000,68c44a3c8a840589,to=00000000;from=3E904000
2,37003.136,DEV->PC,mebius_service,,32,00000000,0C904000,c99e9cb97fed3778,to=00000000;from=0C904000
2,37152.959,DEV->PC,mebius_service,,4140,00000000,3E904000,6235c0a5e182e941,to=00000000;from=3E904000
2,37302.841,DEV->PC,mebius_service,,4140,00000000,3E904000,15ea825c0796e9a7,to=00000000;from=3E904000
2,37452.832,DEV->PC,mebius_service,,4140,00000000,3E904000,0490f801f5428cdf,to=00000000;from=3E904000
2,37602.866,DEV->PC,mebius_service,,4140,00000000,3E904000,b3f186c64ed45f56,to=00000000;from=3E904000
2,37686.321,DEV->PC,mebius_service,,84,00000000,3E904000,eca991467bf2cca1,to=00000000;from=3E904000
2,37752.851,DEV->PC,mebius_service,,4140,00000000,3E904000,53cb4fd357e4dd7c,to=00000000;from=3E904000
2,37902.795,DEV->PC,mebius_service,,4140,00000000,3E904000,59ab0afb4a454b4a,to=00000000;from=3E904000
2,38002.56,DEV->PC,mebius_service,,84,00000000,3E904000,2668991a8b81e36c,to=00000000;from=3E904000
2,38052.85,DEV->PC,mebius_service,,4140,00000000,3E904000,a1b915846b4b3133,to=00000000;from=3E904000
2,38202.837,DEV->PC,mebius_service,,4140,00000000,3E904000,9baee67caa5e69ba,to=00000000;from=3E904000
2,38352.823,DEV->PC,mebius_service,,4140,00000000,3E904000,9a96e4076cc66338,to=00000000;from=3E904000
2,38502.816,DEV->PC,mebius_service,,4140,00000000,3E904000,c4672ae3bd067443,to=00000000;from=3E904000
2,38652.842,DEV->PC,mebius_service,,4140,00000000,3E904000,079de87f3b08647b,to=00000000;from=3E904000
2,38687.205,DEV->PC,mebius_service,,84,00000000,3E904000,f7c6d78d18a38f88,to=00000000;from=3E904000
2,38802.812,DEV->PC,mebius_service,,4140,00000000,3E904000,6c8b6c8319a1f067,to=00000000;from=3E904000
2,38952.823,DEV->PC,mebius_service,,4140,00000000,3E904000,82e708634f8a4af4,to=00000000;from=3E904000
2,39002.537,DEV->PC,mebius_service,,84,00000000,3E904000,45616da406617824,to=00000000;from=3E904000
2,39102.808,DEV->PC,mebius_service,,4140,00000000,3E904000,9dd0c653bc13cc8e,to=00000000;from=3E904000
2,39252.775,DEV->PC,mebius_service,,4140,00000000,3E904000,160bf2c6d756e9bd,to=00000000;from=3E904000
2,39402.798,DEV->PC,mebius_service,,4140,00000000,3E904000,638d466ccf5ae69c,to=00000000;from=3E904000
2,39552.807,DEV->PC,mebius_service,,4140,00000000,3E904000,a39d6305f04fbdf2,to=00000000;from=3E904000
2,39687.408,DEV->PC,mebius_service,,84,00000000,3E904000,d0c530cc49fcac2b,to=00000000;from=3E904000
2,39702.774,DEV->PC,mebius_service,,4140,00000000,3E904000,72b8b4166dba9576,to=00000000;from=3E904000
2,39852.79,DEV->PC,mebius_service,,4140,00000000,3E904000,fcaf57c71e41237a,to=00000000;from=3E904000
2,40002.866,DEV->PC,mebius_service,,4140,00000000,3E904000,146673e9cb8fc5df,to=00000000;from=3E904000
2,40003.091,DEV->PC,mebius_service,,84,00000000,3E904000,cd0d1481ad76e30e,to=00000000;from=3E904000
2,40152.814,DEV->PC,mebius_service,,4140,00000000,3E904000,ee3c25ea49ef2dbe,to=00000000;from=3E904000
