# MIC-185 192.168.9.155:4000; packets=472
# idx  relative    delta direction flags      seq        ack        payload wire
   231  11353.111  149.617 DEV->PC ACK        3396089789 3419068218    1460  1514
   232  11353.188    0.077 DEV->PC ACK        3396091249 3419068218    1460  1514
   233  11353.192    0.004 PC->DEV ACK        3419068218 3396092709       0    54
   234  11353.294    0.102 DEV->PC ACK|PSH    3396092709 3419068218    1220  1274
   235  11397.695   44.401 PC->DEV ACK        3419068218 3396093929       0    54
   236  11503.154  105.459 DEV->PC ACK        3396093929 3419068218    1460  1514
   237  11503.219    0.065 DEV->PC ACK        3396095389 3419068218    1460  1514
   238  11503.226    0.007 PC->DEV ACK        3419068218 3396096849       0    54
   239  11503.337    0.111 DEV->PC ACK|PSH    3396096849 3419068218    1220  1274
   240  11551.548   48.211 PC->DEV ACK        3419068218 3396098069       0    54
   241  11653.282  101.734 DEV->PC ACK        3396098069 3419068218    1460  1514
   242  11653.284    0.002 DEV->PC ACK        3396099529 3419068218    1460  1514
   243  11653.371    0.087 PC->DEV ACK        3419068218 3396100989       0    54
   244  11653.522    0.151 DEV->PC ACK|PSH    3396100989 3419068218    1220  1274
   245  11693.293   39.771 PC->DEV ACK        3419068218 3396102209       0    54
   246  11803.237  109.944 DEV->PC ACK        3396102209 3419068218    1460  1514
   247  11803.378    0.141 DEV->PC ACK        3396103669 3419068218    1460  1514
   248  11803.379    0.001 DEV->PC ACK|PSH    3396105129 3419068218    1220  1274
   249  11803.424    0.045 PC->DEV ACK        3419068218 3396106349       0    54
   250  11953.079  149.655 DEV->PC ACK        3396106349 3419068218    1460  1514
   251  11953.273    0.194 DEV->PC ACK        3396107809 3419068218    1460  1514
   252  11953.288    0.015 PC->DEV ACK        3419068218 3396109269       0    54
   253  11953.322    0.034 DEV->PC ACK|PSH    3396109269 3419068218    1220  1274
   254  12001.565   48.243 DEV->PC ACK|PSH    3396110489 3419068218      84   138
   255  12001.594    0.029 PC->DEV ACK        3419068218 3396110573       0    54
   256  12103.111  101.517 DEV->PC ACK        3396110573 3419068218    1460  1514
   257  12103.209    0.098 DEV->PC ACK        3396112033 3419068218    1460  1514
   258  12103.238    0.029 PC->DEV ACK        3419068218 3396113493       0    54
   259  12103.293    0.055 DEV->PC ACK|PSH    3396113493 3419068218    1220  1274
