# MIC-185 192.168.9.155:4000; packets=1094
# idx  relative    delta direction flags      seq        ack        payload wire
   342  18772.022   42.678 PC->DEV ACK        2477009158 4177608825       0    54
   343  18829.581   57.559 DEV->PC ACK        4177608825 2477009158    1460  1514
   344  18829.777    0.196 DEV->PC ACK        4177610285 2477009158    1460  1514
   345  18829.778    0.001 DEV->PC ACK|PSH    4177611745 2477009158    1220  1274
   346  18829.884    0.106 PC->DEV ACK        2477009158 4177612965       0    54
   347  18872.750   42.866 DEV->PC ACK|PSH    4177612965 2477009158      84   138
   348  18873.460    0.710 PC->DEV ACK        2477009158 4177613049       0    54
   349  18979.586  106.126 DEV->PC ACK        4177613049 2477009158    1460  1514
   350  18979.687    0.101 DEV->PC ACK        4177614509 2477009158    1460  1514
   351  18979.698    0.011 PC->DEV ACK        2477009158 4177615969       0    54
   352  18979.749    0.051 DEV->PC ACK|PSH    4177615969 2477009158    1220  1274
   353  19033.388   53.639 PC->DEV ACK        2477009158 4177617189       0    54
   354  19129.565   96.177 DEV->PC ACK        4177617189 2477009158    1460  1514
   355  19129.663    0.098 DEV->PC ACK        4177618649 2477009158    1460  1514
   356  19129.667    0.004 PC->DEV ACK        2477009158 4177620109       0    54
   357  19129.726    0.059 DEV->PC ACK|PSH    4177620109 2477009158    1220  1274
   358  19172.809   43.083 PC->DEV ACK        2477009158 4177621329       0    54
   359  19279.566  106.757 DEV->PC ACK        4177621329 2477009158    1460  1514
   360  19279.662    0.096 DEV->PC ACK        4177622789 2477009158    1460  1514
   361  19279.670    0.008 PC->DEV ACK        2477009158 4177624249       0    54
   362  19279.767    0.097 DEV->PC ACK|PSH    4177624249 2477009158    1220  1274
   363  19326.763   46.996 PC->DEV ACK        2477009158 4177625469       0    54
   364  19429.551  102.788 DEV->PC ACK        4177625469 2477009158    1460  1514
   365  19429.659    0.108 DEV->PC ACK        4177626929 2477009158    1460  1514
   366  19429.672    0.013 PC->DEV ACK        2477009158 4177628389       0    54
   367  19429.728    0.056 DEV->PC ACK|PSH    4177628389 2477009158    1220  1274
   368  19482.485   52.757 PC->DEV ACK        2477009158 4177629609       0    54
   369  19579.556   97.071 DEV->PC ACK        4177629609 2477009158    1460  1514
   370  19579.662    0.106 DEV->PC ACK        4177631069 2477009158    1460  1514
   371  19579.673    0.011 PC->DEV ACK        2477009158 4177632529       0    54
