# MIC-185 192.168.9.155:4000; packets=1803
# idx  relative    delta direction flags      seq        ack        payload wire
   231  45229.139    0.005 PC->DEV ACK        2164023976 3264057849       0    54
   232  45229.230    0.091 DEV->PC ACK|PSH    3264057849 2164023976    1220  1274
   233  45272.166   42.936 PC->DEV ACK        2164023976 3264059069       0    54
   234  45378.993  106.827 DEV->PC ACK        3264059069 2164023976    1460  1514
   235  45379.070    0.077 DEV->PC ACK        3264060529 2164023976    1460  1514
   236  45379.076    0.006 PC->DEV ACK        2164023976 3264061989       0    54
   237  45379.199    0.123 DEV->PC ACK|PSH    3264061989 2164023976    1220  1274
   238  45427.203   48.004 PC->DEV ACK        2164023976 3264063209       0    54
   239  45478.840   51.637 DEV->PC ACK|PSH    3264063209 2164023976      84   138
   240  45529.075   50.235 DEV->PC ACK        3264063293 2164023976    1460  1514
   241  45529.077    0.002 DEV->PC ACK        3264064753 2164023976    1460  1514
   242  45529.158    0.081 PC->DEV ACK        2164023976 3264066213       0    54
   243  45529.226    0.068 DEV->PC ACK|PSH    3264066213 2164023976    1220  1274
   244  45529.256    0.030 PC->DEV ACK        2164023976 3264067433       0    54
   245  45679.186  149.930 DEV->PC ACK        3264067433 2164023976    1460  1514
   246  45679.188    0.002 DEV->PC ACK        3264068893 2164023976    1460  1514
   247  45679.273    0.085 PC->DEV ACK        2164023976 3264070353       0    54
   248  45679.359    0.086 DEV->PC ACK|PSH    3264070353 2164023976    1220  1274
   249  45720.316   40.957 PC->DEV ACK        2164023976 3264071573       0    54
   250  45829.154  108.838 DEV->PC ACK        3264071573 2164023976    1460  1514
   251  45829.155    0.001 DEV->PC ACK        3264073033 2164023976    1460  1514
   252  45829.173    0.018 PC->DEV ACK        2164023976 3264074493       0    54
   253  45829.216    0.043 DEV->PC ACK|PSH    3264074493 2164023976    1220  1274
   254  45875.370   46.154 PC->DEV ACK        2164023976 3264075713       0    54
   255  45978.997  103.627 DEV->PC ACK        3264075713 2164023976    1460  1514
   256  45979.059    0.062 DEV->PC ACK        3264077173 2164023976    1460  1514
   257  45979.066    0.007 PC->DEV ACK        2164023976 3264078633       0    54
   258  45979.189    0.123 DEV->PC ACK|PSH    3264078633 2164023976    1220  1274
   259  46030.891   51.702 PC->DEV ACK        2164023976 3264079853       0    54
   260  46070.699   39.808 DEV->PC ACK|PSH    3264079853 2164023976      84   138
   261  46123.550   52.851 PC->DEV ACK        2164023976 3264079937       0    54
   262  46128.985    5.435 DEV->PC ACK        3264079937 2164023976    1460  1514
   263  46129.065    0.080 DEV->PC ACK        3264081397 2164023976    1460  1514
   264  46129.092    0.027 PC->DEV ACK        2164023976 3264082857       0    54
   265  46129.154    0.062 DEV->PC ACK|PSH    3264082857 2164023976    1220  1274
   266  46170.165   41.011 PC->DEV ACK        2164023976 3264084077       0    54
   267  46279.106  108.941 DEV->PC ACK        3264084077 2164023976    1460  1514
   268  46279.245    0.139 DEV->PC ACK        3264085537 2164023976    1460  1514
   269  46279.246    0.001 DEV->PC ACK|PSH    3264086997 2164023976    1220  1274
   270  46279.292    0.046 PC->DEV ACK        2164023976 3264088217       0    54
   271  46428.978  149.686 DEV->PC ACK        3264088217 2164023976    1460  1514
   272  46429.096    0.118 DEV->PC ACK        3264089677 2164023976    1460  1514
   273  46429.100    0.004 PC->DEV ACK        2164023976 3264091137       0    54
   274  46429.194    0.094 DEV->PC ACK|PSH    3264091137 2164023976    1220  1274
   275  46478.773   49.579 DEV->PC ACK|PSH    3264092357 2164023976      84   138
   276  46478.778    0.005 PC->DEV ACK        2164023976 3264092441       0    54
   277  46578.953  100.175 DEV->PC ACK        3264092441 2164023976    1460  1514
   278  46579.075    0.122 DEV->PC ACK        3264093901 2164023976    1460  1514
   279  46579.078    0.003 PC->DEV ACK        2164023976 3264095361       0    54
   280  46579.170    0.092 DEV->PC ACK|PSH    3264095361 2164023976    1220  1274
   281  46621.196   42.026 PC->DEV ACK        2164023976 3264096581       0    54
   282  46729.042  107.846 DEV->PC ACK        3264096581 2164023976    1460  1514
