connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
5,58878.766,DEV->PC,mebius_service,,4140,00000000,3E904000,be5e6d47520b8a0d,to=00000000;from=3E904000
5,59028.741,DEV->PC,mebius_service,,4140,00000000,3E904000,8eddf3bb90bd1f6e,to=00000000;from=3E904000
5,59073.187,DEV->PC,mebius_service,,84,00000000,3E904000,c5585ce8264b58fb,to=00000000;from=3E904000
5,59178.779,DEV->PC,mebius_service,,4140,00000000,3E904000,f3f84df5d239ea51,to=00000000;from=3E904000
5,59328.774,DEV->PC,mebius_service,,4140,00000000,3E904000,9d07058bd74f8220,to=00000000;from=3E904000
5,59478.848,DEV->PC,mebius_service,,4140,00000000,3E904000,7d85bf2676f3629a,to=00000000;from=3E904000
5,59478.971,DEV->PC,mebius_service,,84,00000000,3E904000,2f65fcf9693f431d,to=00000000;from=3E904000
5,59628.75,DEV->PC,mebius_service,,4140,00000000,3E904000,a331053f33defd09,to=00000000;from=3E904000
5,59778.785,DEV->PC,mebius_service,,4140,00000000,3E904000,68bc82a912229b1e,to=00000000;from=3E904000
5,59928.846,DEV->PC,mebius_service,,4140,00000000,3E904000,68a9270e4b665d43,to=00000000;from=3E904000
5,60073.32,DEV->PC,mebius_service,,84,00000000,3E904000,f86cae1b4125f639,to=00000000;from=3E904000
5,60078.709,DEV->PC,mebius_service,,4140,00000000,3E904000,b294b4e810e3d74f,to=00000000;from=3E904000
5,60228.874,DEV->PC,mebius_service,,4140,00000000,3E904000,b2bf59d0c4e76559,to=00000000;from=3E904000
5,60378.772,DEV->PC,mebius_service,,4140,00000000,3E904000,0c58637bba076f48,to=00000000;from=3E904000
5,60478.808,DEV->PC,mebius_service,,84,00000000,3E904000,4c162d2e0157edf3,to=00000000;from=3E904000
5,60528.697,DEV->PC,mebius_service,,4140,00000000,3E904000,ea6ec9723b1394cf,to=00000000;from=3E904000
5,60678.78,DEV->PC,mebius_service,,4140,00000000,3E904000,baa4179ab1cd48d5,to=00000000;from=3E904000
5,60828.767,DEV->PC,mebius_service,,4140,00000000,3E904000,d2a5d26a49df044e,to=00000000;from=3E904000
5,60978.722,DEV->PC,mebius_service,,4140,00000000,3E904000,deb0262f3e24f735,to=00000000;from=3E904000
5,61073.512,DEV->PC,mebius_service,,84,00000000,3E904000,20ae68091aaaaf75,to=00000000;from=3E904000
5,61128.735,DEV->PC,mebius_service,,4140,00000000,3E904000,ef7fdaaef416dd7d,to=00000000;from=3E904000
5,61278.857,DEV->PC,mebius_service,,4140,00000000,3E904000,890357afb0e4d807,to=00000000;from=3E904000
5,61428.697,DEV->PC,mebius_service,,4140,00000000,3E904000,00dc1b90af65affd,to=00000000;from=3E904000
5,61478.818,DEV->PC,mebius_service,,84,00000000,3E904000,7f5e1c015bdb7de8,to=00000000;from=3E904000
5,61578.692,DEV->PC,mebius_service,,4140,00000000,3E904000,6626f208579120ec,to=00000000;from=3E904000
5,61728.723,DEV->PC,mebius_service,,4140,00000000,3E904000,fdd8270199e5dc6f,to=00000000;from=3E904000
5,61878.685,DEV->PC,mebius_service,,4140,00000000,3E904000,0071114bf19f08a8,to=00000000;from=3E904000
5,62028.658,DEV->PC,mebius_service,,4140,00000000,3E904000,e0370c8d4ba3e565,to=00000000;from=3E904000
5,62072.706,DEV->PC,mebius_service,,84,00000000,3E904000,60dbc2ab9217958a,to=00000000;from=3E904000
5,62178.735,DEV->PC,mebius_service,,4140,00000000,3E904000,eb6e1d7430ba8ccb,to=00000000;from=3E904000
5,62328.706,DEV->PC,mebius_service,,4140,00000000,3E904000,bd417d7e8eab8c94,to=00000000;from=3E904000
5,62478.697,DEV->PC,mebius_service,,4140,00000000,3E904000,4f35c5392deab57c,to=00000000;from=3E904000
5,62478.874,DEV->PC,mebius_service,,84,00000000,3E904000,0f79e15b1a5ce9b9,to=00000000;from=3E904000
5,62628.714,DEV->PC,mebius_service,,4140,00000000,3E904000,dc081e1c82dab28e,to=00000000;from=3E904000
5,62778.786,DEV->PC,mebius_service,,4140,00000000,3E904000,73b95014f23fbd07,to=00000000;from=3E904000
5,62928.787,DEV->PC,mebius_service,,4140,00000000,3E904000,461f2ff37d80258a,to=00000000;from=3E904000
5,63073.75,DEV->PC,mebius_service,,84,00000000,3E904000,70e0dacf0e099f32,to=00000000;from=3E904000
5,63078.661,DEV->PC,mebius_service,,4140,00000000,3E904000,00404ae0a043e8af,to=00000000;from=3E904000
5,63228.675,DEV->PC,mebius_service,,4140,00000000,3E904000,77237c334bed6f7d,to=00000000;from=3E904000
5,63378.669,DEV->PC,mebius_service,,4140,00000000,3E904000,511e5b263928c601,to=00000000;from=3E904000
5,63478.806,DEV->PC,mebius_service,,84,00000000,3E904000,0cf0ad6b7f5e8658,to=00000000;from=3E904000
5,63528.643,DEV->PC,mebius_service,,4140,00000000,3E904000,28405ea46b26dee6,to=00000000;from=3E904000
5,63678.707,DEV->PC,mebius_service,,4140,00000000,3E904000,e6db0a52c59b56f9,to=00000000;from=3E904000
5,63828.688,DEV->PC,mebius_service,,4140,00000000,3E904000,4c935413feca8ee4,to=00000000;from=3E904000
5,63978.714,DEV->PC,mebius_service,,4140,00000000,3E904000,341e1e6cda85dea4,to=00000000;from=3E904000
